tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	mean other	mean 50-80	Fold Change (other vs. 50-80)	CV	Wilcoxon P value	FDR	q values	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
CXCL13	-	-	CXCL13	CXCL13	TSS35166	chr4:77511752-77611836	-	-	0.835516491150442	0.192987876623377	4.32937294180911	7.19110421011054	0.00354990323902578	0.609394044304557	0.477504547563779	104	66	14	0.0322328	0.575123315789474
LOC100506085	-	-	LOC100506085	LOC100506085	TSS14838	chr4:169917760-169975902	-	-	0.00223388761061947	0.000779551948051948	2.86560455169385	2.56009172343819	0.0411226274904422	0.616847495387195	0.483344868486287	31	0	0	0	0.00164449894736842
LOC55338	-	-	LOC55338	LOC55338	TSS27519	chr5:87215734-87239201	-	-	0.00231457097345133	0.000498884805194805	4.63948981678753	3.8415191663147	0.0423702764671495	0.619966312082069	0.485788688160501	17	0	0	0	0.00157874026315789
PCDHB6	-	-	PCDHB6	PCDHB6	TSS20788	chr5:141150021-141153287	-	-	0.00220822707964602	0.000971491168831169	2.27302846437894	2.91232179600386	0.0490284124582218	0.627867871590545	0.491980134620154	23	0	0	0	0.00170702357894737
PCDHB9	-	-	PCDHB9	PCDHB9	TSS36468	chr5:141187126-141191538	-	-	0.00301586982300885	0.00135814038961039	2.22058768451324	1.94518334561144	0.0204406237498977	0.609394044304557	0.477504547563779	45	0	0	0	0.00234405315789474
C5orf46	-	-	C5orf46	C5orf46	TSS10949	chr5:147892707-147906538	-	-	0.0096511017699115	0.00091298961038961	10.5708779816158	4.51162384486627	0.0418820733492722	0.619010301059595	0.485039584005285	10	6	0	0	0.00610986684210526
SLC34A1	-	-	SLC34A1	SLC34A1	TSS4235	chr5:177384430-177398848	-	-	0.00625642796460177	0.0023045	2.71487436085996	2.31346620745852	0.0232473828311256	0.609394044304557	0.477504547563779	39	0	0	0	0.00465485715789474
LOC101928191	-	-	LOC101928191	LOC101928191	TSS21131	chr6:10932316-10954089	-	-	0.00416688495575221	0	Inf	7.14834473779166	0.026766927562098	0.609394044304557	0.477504547563779	7	1	0	0	0.0024782
TCP11	-	-	TCP11	TCP11	TSS31662	chr6:35118070-35141410	-	-	0.113739843362832	0.0503073480519481	2.26089920791258	1.70801722413563	0.0163988501499338	0.609394044304557	0.477504547563779	120	49	0	0.0355671	0.08803299
PTCHD4	-	-	PTCHD4	PTCHD4	TSS1026	chr6:47878027-48068689	-	-	0.0098137585840708	0.0196687976623377	-2.00420638981919	2.05381984476505	-0.00856177688695188	0.609394044304557	0.477504547563779	82	3	0	0	0.0138076428421053
LINCMD1	-	-	LINCMD1	LINCMD1	TSS1760	chr6:52146813-52151023	-	-	0.0123982123893805	0	Inf	5.70135595202614	0.0409027193382437	0.616847495387195	0.483344868486287	6	6	0	0	0.00737367368421053
HCRTR2	-	-	HCRTR2	HCRTR2	TSS31222	chr6:55174272-55282620	-	-	0.0034521982300885	0.000947045454545455	3.64522971259644	3.80914941585648	0.0463850214909432	0.625077397393049	0.489793595169011	17	0	0	0	0.00243695210526316
TAAR3	-	-	TAAR3	TAAR3	TSS18112	chr6:132608224-132609302	-	-	0.00407865840707965	0.000497933766233766	8.19116654395522	4.3415625764277	0.0418820733492722	0.619010301059595	0.485039584005285	10	0	0	0	0.00262752263157895
TCP10	-	-	TCP10	TCP10	TSS34791	chr6:167373088-167384510	-	-	0.00264711415929204	0.000372918181818182	7.09837784359533	4.3124574982766	0.0418820733492722	0.619010301059595	0.485039584005285	10	0	0	0	0.00172546631578947
LOC441178	-	-	LOC441178	LOC441178	TSS13077	chr6:167679625-167683787	-	-	0.00257490283185841	0.000566541558441558	4.5449496042999	3.12188541564305	0.0130630763290917	0.609394044304557	0.477504547563779	20	0	0	0	0.001760988
AGMO	-	-	AGMO	AGMO	TSS18155	chr7:15200317-15562015	-	-	0.00204116345132743	0.000445415584415584	4.58260447713247	3.64563347594771	0.0265373068281477	0.609394044304557	0.477504547563779	15	0	0	0	0.00139446563157895
DDC-AS1	-	-	DDC-AS1	DDC-AS1	TSS6798	chr7:50531758-50543463	-	-	0.00126708261824779	0.000533277922077922	2.37602676913867	5.3111262375129	0.0320028516955257	0.609394044304557	0.477504547563779	11	0	0	0	0.0009696986098
GNG11	-	-	GNG11	GNG11	TSS23448	chr7:93921703-93926514	-	-	3.76288816637168	8.00266355844156	-2.12673436057974	1.97743112773792	-0.0212084543077711	0.609394044304557	0.477504547563779	184	183	149	2.588	5.48111293052632
ASB15	-	-	ASB15	ASB15	TSS22889,TSS31509	chr7:123601866-123637880	-	-	0.00320684513274336	0.000818067922077922	3.9200230765654	3.06954257925101	0.0189437486545162	0.609394044304557	0.477504547563779	25	0	0	0	0.00223876173684211
RNY3	-	-	RNY3	RNY3	TSS26636	chr7:148983754-148983856	-	-	56.9444876106195	189.215618961039	-3.32280835073758	3.72571979654658	-0.00307220023378963	0.609394044304557	0.477504547563779	121	121	121	21.77035	110.549104
ADAM2	-	-	ADAM2	ADAM2	TSS27240	chr8:39743735-39838289	-	-	0.00158558495575221	0.000334785714285714	4.73611892053146	3.65118745494336	0.0365110730198029	0.611513881033106	0.479165593790658	14	0	0	0	0.00107868210526316
LINC00293	-	-	LINC00293	LINC00293	TSS33036	chr8:46840885-46855785	-	-	0.00371631946902655	0.00101077142857143	3.67671598541225	3.54969755325783	0.0192558732623152	0.609394044304557	0.477504547563779	16	0	0	0	0.00261986052631579
MIR1234	-	-	MIR1234	MIR1234	TSS35182	chr8:144400085-144400165	-	-	1.21104601769912	0	Inf	5.24871535412947	0.026766927562098	0.609394044304557	0.477504547563779	7	7	7	0	0.720253684210526
S1PR3	-	-	S1PR3	S1PR3	TSS30110	chr9:88991408-89005154	-	-	0.0779233692035398	0.0385096966233766	2.023473982816	3.33080697527292	0.0493231502103388	0.627867871590545	0.491980134620154	143	20	1	0.01929975	0.0619504597894737
MIR600	-	-	MIR600	MIR600	TSS28016	chr9:123111545-123111643	-	-	0.0876104474884956	0	Inf	13.7838380053079	0.0409027193382437	0.616847495387195	0.483344868486287	6	1	1	0	0.0521051608747368
LOC51145	-	-	LOC51145	LOC51145	TSS18364	chr9:125743753-125745929	-	-	0.0117613575221239	0.000840787012987013	13.9885099798819	4.61611020190241	0.0190064697907463	0.609394044304557	0.477504547563779	12	5	0	0	0.00733565263157895
SNORA65	-	-	SNORA65	SNORA65	TSS1654	chr9:127448501-127448637	-	-	2.92234681415929	6.77452987012987	-2.31818134565893	1.64465675782388	-0.000439182492902453	0.609394044304557	0.477504547563779	82	82	82	0	4.48349468421053
OR51B6	-	-	OR51B6	OR51B6	TSS5527	chr11:5351507-5352446	-	-	0.00377077876106195	0	Inf	4.67690709272701	0.0115388183709041	0.609394044304557	0.477504547563779	9	0	0	0	0.00224262105263158
OVCH2	-	-	OVCH2	OVCH2	TSS8905	chr11:7689923-7706394	-	-	0.00575654424778761	0.00203877922077922	2.82352507280679	2.70443775740404	0.0376716395104797	0.613856897927212	0.481001517906443	29	0	0	0	0.00424987105263158
CSTF3-AS1	-	-	CSTF3-AS1	CSTF3-AS1	TSS7567	chr11:33161656-33191596	-	-	0.0272646619469027	0.0120756038961039	2.25783009955298	1.96435219037795	0.0396712697417771	0.616847495387195	0.483344868486287	79	12	0	0	0.0211090963157895
MRGPRF-AS1	-	-	MRGPRF-AS1	MRGPRF-AS1	TSS21436	chr11:69012353-69018447	-	-	0.00743777079646018	0.00199360779220779	3.73080945285799	3.06660704582443	0.0115555328827682	0.609394044304557	0.477504547563779	30	2	0	0	0.00523145210526316
KRTAP5-8	-	-	KRTAP5-8	KRTAP5-8	TSS1631	chr11:71538024-71539207	-	-	0.0221282672566372	0.00575598571428571	3.84439231697835	3.25166775546602	0.0426748002282927	0.619966312082069	0.485788688160501	29	12	0	0	0.0154931847368421
FOXR1	-	-	FOXR1	FOXR1	TSS27691	chr11:118971706-118981285	-	-	0.00335565132743363	0.000561179220779221	5.9796428719762	4.35124333462476	0.0455036822720356	0.625077397393049	0.489793595169011	10	0	0	0	0.00222315473684211
OR9K2	-	-	OR9K2	OR9K2	TSS24895	chr12:55129768-55130776	-	-	0.00280360707964602	0	Inf	6.06472072985887	0.0409027193382437	0.616847495387195	0.483344868486287	6	1	0	0	0.00166740842105263
EPYC	-	-	EPYC	EPYC	TSS17313	chr12:90963678-91005026	-	-	0.0051470610619469	0.000373149350649351	13.7935683205399	5.87583194615434	0.020003409772967	0.609394044304557	0.477504547563779	12	1	0	0	0.00321237052631579
RNU4-2	-	-	RNU4-2	RNU4-2	TSS9175	chr12:120291762-120291903	-	-	12.8962461061947	55.8808379220779	-4.33310883352603	5.61941538911644	-0.0348886354872473	0.609394044304557	0.477504547563779	93	93	93	0	30.3163175263158
FAM101A	-	-	FAM101A	FAM101A	TSS26521	chr12:124289163-124316024	-	-	0.0063363562920354	0.00197366061038961	3.21045891004764	3.32024260757366	0.0357097108144517	0.609394044304557	0.477504547563779	32	2	0	0	0.0045683164631579
LINC01053	-	-	LINC01053	LINC01053	TSS33171	chr13:25181331-25190657	-	-	0.00127544955752212	0	Inf	5.79005021919507	0.0409027193382437	0.616847495387195	0.483344868486287	6	0	0	0	0.000758556842105263
MTUS2	-	-	MTUS2	MTUS2	TSS26478,TSS35557	chr13:29024610-29505947	-	-	0.0163868311504425	0.0338348512987013	-2.06475864601727	2.27036092498527	-0.0302847423016153	0.609394044304557	0.477504547563779	117	9	0	0.00910582	0.0234578708947368
SOHLH2	-	-	SOHLH2	SOHLH2	TSS13566	chr13:36168207-36214615	-	-	0.00790430371146637	0.00281488311688312	2.80803975982445	2.88050610061751	0.0401395546538571	0.616847495387195	0.483344868486287	39	2	0	0	0.00584174904945105
TPTE2P3	-	-	TPTE2P3	TPTE2P3	TSS29932	chr13:52488992-52587090	-	-	0.00276662707964602	0.000397748051948052	6.95572754183433	4.62112289208797	0.0273305828863473	0.609394044304557	0.477504547563779	15	0	0	0	0.00180660768421053
OR11H6	-	-	OR11H6	OR11H6	TSS24024	chr14:20223709-20224702	-	-	0.00194982654867257	0	Inf	5.65849586351785	0.0409027193382437	0.616847495387195	0.483344868486287	6	0	0	0	0.00115963368421053
MIR4707	-	-	MIR4707	MIR4707	TSS5919	chr14:22956949-22957029	-	-	4.66114159292035e-22	3.5448961038961e-58	1.31488806901771e+36	13.7840487520902	0.028450190911003	0.609394044304557	0.477504547563779	49	0	0	0	2.77215263157895e-22
DDX11L10	-	-	DDX11L10	DDX11L10	TSS35137	chr16:11554-14090	-	-	0.0129771088495575	0.000594228571428571	21.8385811008036	6.25856181884979	0.0344368181986102	0.609394044304557	0.477504547563779	14	4	0	0	0.00795878368421053
CETP	-	-	CETP	CETP	TSS20283	chr16:56961922-56983844	-	-	0.107317098230088	0.318333292207792	-2.96628680292197	5.30220165235154	-0.0430423745080497	0.62061267786437	0.486295162753292	122	61	4	0.0486475	0.192834187368421
OR3A3	-	-	OR3A3	OR3A3	TSS9415	chr17:3420567-3421533	-	-	0.00890312743362832	0	Inf	5.61301635910734	0.00758294218034974	0.609394044304557	0.477504547563779	10	4	0	0	0.00529501789473684
MYH4	-	-	MYH4	MYH4	TSS9264	chr17:10443290-10469559	-	-	0.00145809460176991	0.000483641688311688	3.01482406708957	2.99593559877014	0.0278987420710517	0.609394044304557	0.477504547563779	28	0	0	0	0.00106318473684211
CDRT15	-	-	CDRT15	CDRT15	TSS23543	chr17:14235855-14236833	-	-	0.0608964017699115	0.0175605233766234	3.46780107083693	3.63775243534226	0.044480851158365	0.623985994786619	0.488938401862374	32	23	2	0	0.0433339668421053
TBC1D3	-	-	TBC1D3	TBC1D3	TSS15212	chr17:37924459-37935554	-	-	0.0248034988907965	0.0100345157361039	2.47181822651931	3.53510069194825	0.00113159939761291	0.609394044304557	0.477504547563779	182	14	0	1.90558e-05	0.0188181741386316
KRT42P	-	-	KRT42P	KRT42P	TSS5147	chr17:41626326-41640199	-	-	0.0283705690265487	0.0139590944155844	2.03240756039839	3.34913406625737	0.0470546578786247	0.625664001750037	0.490253242339344	58	11	0	0	0.0225301293157895
WNK4	-	-	WNK4	WNK4	TSS20854	chr17:42780630-42797066	-	-	0.0161239079646018	0.0388358244155844	-2.40858633656581	1.51682447915628	-0.00126307274847232	0.609394044304557	0.477504547563779	120	9	0	0.00942298	0.0253282109473684
RNU2-1	-	-	RNU2-1	RNU2-1	TSS18349	chr17:43266635-43266823	-	-	4.59995277876106	12.1442609090909	-2.64008382111301	3.83753585903734	-0.049431129265881	0.627867871590545	0.491980134620154	123	123	122	1.57	7.65738291578947
RNU2-1	-	-	RNU2-1	RNU2-1	TSS30358	chr17:43300043-43300231	-	-	4.46222136283186	11.6298225974026	-2.60628544658797	3.51074082410634	-0.0421275670763316	0.619772495969805	0.485636819142642	125	125	123	1.730845	7.36698607368421
SPPL2C	-	-	SPPL2C	SPPL2C	TSS24367	chr17:45844889-45847072	-	-	0.00258306283185841	0.000629068831168831	4.10616883856571	3.11858064160554	0.0199136749294437	0.609394044304557	0.477504547563779	19	0	0	0	0.00179118105263158
MIR4737	-	-	MIR4737	MIR4737	TSS484	chr17:60043024-60043105	-	-	12.146385840708	4.13606103896104	2.93670372034913	3.04031483188956	0.0260104346512269	0.609394044304557	0.477504547563779	31	31	31	0	8.90009631578947
TBX2-AS1	-	-	TBX2-AS1	TBX2-AS1	TSS1973	chr17:61393455-61399606	-	-	0.0089216796460177	0	Inf	5.70869446077464	0.0115388183709041	0.609394044304557	0.477504547563779	9	3	0	0	0.00530605157894737
LINC01482	-	-	LINC01482	LINC01482	TSS23504	chr17:68628153-68679606	-	-	0.0033150610619469	0.000968551948051948	3.42269825445553	3.60139796808831	0.0341895008710553	0.609394044304557	0.477504547563779	21	0	0	0	0.00236410736842105
LINC01028	-	-	LINC01028	LINC01028	TSS12246	chr17:70051270-70068095	-	-	0.00206964601769911	0	Inf	5.62018500904847	0.0409027193382437	0.616847495387195	0.483344868486287	6	0	0	0	0.00123089473684211
TMEM235	-	-	TMEM235	TMEM235	TSS27142	chr17:78231309-78240987	-	-	0.00226288672566372	0.000720916753246753	3.13890156591934	3.37135863362154	0.0440533815969737	0.6238943457271	0.488866588159715	17	0	0	0	0.00163798310526316
MTCL1	-	-	MTCL1	MTCL1	TSS10712	chr18:8717370-8832777	-	-	0.0299598075221239	0.0739704662337662	-2.46899003537131	3.6406926100284	-0.0210380503402948	0.609394044304557	0.477504547563779	148	20	1	0.0249603	0.0477957060526316
MC2R	-	-	MC2R	MC2R	TSS17684,TSS3094	chr18:13882043-13915707	-	-	0.00303007504424779	0.000845050779220779	3.58567214983438	2.70816265827406	0.0191295386912136	0.609394044304557	0.477504547563779	31	0	0	0	0.00214456521052632
ACTL9	-	-	ACTL9	ACTL9	TSS13592	chr19:8697396-8698830	-	-	0.00742695752212389	0.0021795012987013	3.40764078761935	3.59291909167276	0.0307475418803217	0.609394044304557	0.477504547563779	24	1	0	0	0.00530035684210526
CIB3	-	-	CIB3	CIB3	TSS27687	chr19:16161367-16173525	-	-	0.164018105309735	0.0109608428571429	14.9640048167326	9.65395721166568	0.0455763159892478	0.625077397393049	0.489793595169011	26	16	1	0	0.101989635789474
GOLGA2P9	-	-	GOLGA2P9	GOLGA2P9	TSS33569	chr19:22596256-22603550	-	-	0.00419869203539823	0.00193001558441558	2.17547053469499	2.24581162031272	0.034636898018443	0.609394044304557	0.477504547563779	33	0	0	0	0.00327928105263158
KLKP1	-	-	KLKP1	KLKP1	TSS22251	chr19:50882095-50896398	-	-	0.00204880796460177	0	Inf	5.59853049619821	0.0409027193382437	0.616847495387195	0.483344868486287	6	0	0	0	0.00121850157894737
KIR3DL3	-	-	KIR3DL3	KIR3DL3	TSS5892	chr19:54724446-54736536	-	-	0.00376636548672566	0.00107338311688312	3.50887341852591	3.25689661295502	0.0317575053439263	0.609394044304557	0.477504547563779	21	0	0	0	0.00267499894736842
LINC00652	-	-	LINC00652	LINC00652	TSS29782,TSS8114	chr20:18787970-18794584	-	-	0.00944292137831984	0.00307932128512166	3.06655931745257	4.31502860539925	0.0112811492625041	0.609394044304557	0.477504547563779	130	4	0	2.23325e-08	0.00686398870897111
DUSP15	-	-	DUSP15	DUSP15	TSS10441,TSS22077,TSS28585	chr20:31861066-31870676	-	-	0.0647141300884956	0.148582392207792	-2.2959806769342	2.11784500773442	-0.0120843154993132	0.609394044304557	0.477504547563779	103	50	3	0.03356365	0.0987028468421053
TFAP2C	-	-	TFAP2C	TFAP2C	TSS31584	chr20:56629301-56639282	-	-	0.0236197861946903	0.0109527998701299	2.15650669004785	2.4479494023472	0.0109335920103291	0.609394044304557	0.477504547563779	78	7	0	0	0.0184863233157895
EDN3	-	-	EDN3	EDN3	TSS31621	chr20:59300426-59325992	-	-	0.00457310168141593	0.0019634312987013	2.32913760947011	2.66206425486615	0.0232043368837062	0.609394044304557	0.477504547563779	34	0	0	0	0.00351549842105263
