tracking_ID	pvalue (SCADDING)	corr_coef (SCADDING)	fdr (SCADDING)	fpkm>0_num (SCADDING)	fpkm>0.1_num (SCADDING)	fpkm>1_num (SCADDING)	fpkm_median (SCADDING)	fpkm_mean (SCADDING)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
PLA2G7_TSS21440,TSS24190	2.03072674851081e-07	0.350904037795508	0.000806501852126265	205	200	155	2.32229	4.61703503732057	3.52604905102431e-05	0.286005417863009	0.00790608243800284	205	200	155	2.32229	4.61703503732057
SMPDL3A_TSS14511	0.000127875295580251	0.262507370411851	0.0295310349864367	203	201	159	2.05051	2.43421643827751	3.95112387356127e-05	0.284269052854025	0.0083406103115997	203	201	159	2.05051	2.43421643827751
HGF_TSS32222	0.000108502989304858	0.265165589910033	0.0274695191735171	169	115	8	0.119527	0.219411251913876	2.81519583114616e-05	0.289406846190298	0.00765523623829011	169	115	8	0.119527	0.219411251913876
GAL3ST4_TSS15819	0.000297853937704297	0.248360409118391	0.0445387437842039	202	194	88	0.876877	1.29071236985646	3.47503783506672e-06	0.319116279522507	0.00320545937275026	202	194	88	0.876877	1.29071236985646
DOCK5_TSS22178	7.96754003526054e-07	0.334373395503128	0.00165817684774615	209	208	196	2.16704	2.3276639562201	9.26801052339602e-05	0.270883318853097	0.0138565236251411	209	208	196	2.16704	2.3276639562201
ADAM28_TSS20581	0.000378460521038684	0.244201236606911	0.0496268488356879	201	186	30	0.409488	0.527029607177034	2.162623760217e-05	0.293336351692532	0.00666009951022973	201	186	30	0.409488	0.527029607177034
ADAMDEC1_TSS4471	4.88118030901214e-05	0.277711098669037	0.0218968035967439	174	141	35	0.253402	0.674015088038277	0.000208944645566853	0.257436580195939	0.0212031154582064	174	141	35	0.253402	0.674015088038277
SQLE_TSS26036	0.000169016528017446	0.257928556566238	0.0339186603912514	209	209	209	5.73908	6.56221411483254	4.45463332779618e-05	0.282426823470143	0.00875883711475371	209	209	209	5.73908	6.56221411483254
MYC_TSS15543	0.000152152122571445	0.259663844082198	0.0324210814512653	207	207	206	4.25449	4.91106254066986	0.00085948133457083	0.232152609881366	0.0467429838148191	207	207	206	4.25449	4.91106254066986
ZNF618_TSS30145	0.000120153009615823	0.263518581325938	0.0291576925220798	207	203	14	0.524016	0.565707951961723	5.47237736138801e-05	0.279236000472502	0.00999138840960277	207	203	14	0.524016	0.565707951961723
PTGS1_TSS16909,TSS26306,TSS5673	5.91944633603592e-05	0.274737733041632	0.0228597319150134	209	209	208	3.29494	3.55571864114833	2.35554118194136e-05	0.292069420517345	0.00684204410813672	209	209	208	3.29494	3.55571864114833
ITIH5_TSS21794,TSS23392	9.04192368440363e-05	-0.268083539552153	0.025977751529236	209	208	203	26.5752	30.9198530036842	0.000152162308957307	-0.262767353284113	0.0182601914519142	209	208	203	26.5752	30.9198530036842
ANKRD22_TSS21907	4.50869979222724e-06	0.311921842079583	0.00524033880396593	200	186	74	0.572189	0.990218796650718	0.000102563864878314	0.269245378055167	0.0148114968935287	200	186	74	0.572189	0.990218796650718
PDLIM1_TSS23538	0.000219355633952438	-0.253572079915316	0.0384172846586564	209	209	209	160.686	165.61306937799	6.44257010925205e-06	-0.31068027922278	0.00382973336192073	209	209	209	160.686	165.61306937799
ENTPD1_TSS23460,TSS4290,TSS7598	0.000250230508826384	0.251342044546605	0.0418195693509192	209	209	208	3.94187	3.97986890430622	8.01560914286186e-05	0.273211970527659	0.0126473447716477	209	209	208	3.94187	3.97986890430622
CHST15_TSS10984,TSS32347	1.83874481180215e-05	0.29226604544052	0.0115242012046832	199	167	33	0.293577	0.600596514688995	4.23073145850178e-05	0.283220465376262	0.00873039700901105	199	167	33	0.293577	0.600596514688995
PLEKHA7_TSS5759	7.22948153426675e-05	0.271618860410757	0.0240917103257529	209	209	190	2.03717	2.31282423444976	2.28632248924005e-05	0.292512327192938	0.00679542897063547	209	209	190	2.03717	2.31282423444976
VWCE_TSS28844	0.000265259364141238	0.250347873509638	0.0426608877564835	125	19	0	0.0112018	0.0338378997607656	0.000787802024323445	0.233788284278826	0.0452917393929708	125	19	0	0.0112018	0.0338378997607656
PELI3_TSS14501,TSS28537	6.42027100324766e-05	-0.273475266440826	0.023096505742693	209	209	209	9.90599	10.3773895215311	2.38324891496026e-08	-0.379351562720977	0.000304591127576496	209	209	209	9.90599	10.3773895215311
CHKA_TSS17108	0.000352890567854286	0.245423369071272	0.0481204009947404	209	206	202	2.82761	2.90369861148325	0.00020040697067395	0.258144365226972	0.0207702635928997	209	206	202	2.82761	2.90369861148325
TPBGL_TSS3084	2.20786584469451e-07	0.349919545264624	0.000806501852126265	201	187	20	0.401342	0.48734907861244	0.000110094140988401	0.268093900900807	0.0152516389648217	201	187	20	0.401342	0.48734907861244
KCNJ5_TSS12525	1.19156655873658e-05	0.29848594590162	0.00870524483054122	205	199	122	1.35636	1.81629113909091	0.000855996568090594	0.232229172318748	0.0467429838148191	205	199	122	1.35636	1.81629113909091
GALNT6_TSS20693	0.000135524443567047	-0.261560565238907	0.0303255325401756	209	209	209	17.9184	18.4286615789474	5.98479344861575e-05	-0.277835756614847	0.0104066194108889	209	209	209	17.9184	18.4286615789474
PLXNC1_TSS1135,TSS5112	2.8123543721786e-05	0.286029488470068	0.0156330220210015	209	209	178	2.22571	2.99771364114833	6.71734853066482e-06	0.310100111379255	0.00385499135886099	209	209	178	2.22571	2.99771364114833
CMKLR1_TSS22814,TSS7058	3.79856103395603e-06	0.314224345678992	0.00485646028191278	209	208	172	2.14495	3.48928969138756	2.34387404840614e-07	0.35326076839331	0.000612638734948525	209	208	172	2.14495	3.48928969138756
SDS_TSS12760	6.24779793337745e-06	0.307485199257945	0.0062647284475585	199	192	114	1.11377	2.37169808755981	2.85680825143238e-05	0.289186492027413	0.00768060300992515	199	192	114	1.11377	2.37169808755981
SLC7A1_TSS3015	4.80334905424754e-07	0.340604925119689	0.00136468483685677	209	209	203	2.52784	2.55805097129187	0.000127614619299333	0.265676970832247	0.0161483033856943	209	209	203	2.52784	2.55805097129187
LPAR6_TSS25909,TSS5480,TSS7289	1.04507006845527e-07	0.358607505471557	0.000806501852126265	209	209	208	7.16187	7.51318003827751	2.39677138980683e-07	0.352994226357908	0.000612638734948525	209	209	208	7.16187	7.51318003827751
RCBTB2_TSS14470	0.000218297629965445	0.253653573930029	0.0384172846586564	209	209	209	6.91756	6.95203234449761	0.000124009165872303	0.266147808559454	0.0161483033856943	209	209	209	6.91756	6.95203234449761
SPRY2_TSS27001	1.85493522123019e-07	0.351966122925071	0.000806501852126265	198	190	71	0.662398	0.936608148325359	1.54524010010721e-05	0.298263030097491	0.0055643611685874	198	190	71	0.662398	0.936608148325359
LGMN_TSS835	2.62936223008452e-05	0.287026754209436	0.0152801800507412	209	209	209	43.2905	53.7584148325359	0.00052239866151729	0.241357005176908	0.0357723091188054	209	209	209	43.2905	53.7584148325359
GPR132_TSS30533	0.000191265223473413	0.255871519219747	0.035439505537791	206	203	128	1.18441	1.54090603162679	1.97232483284773e-05	0.294695362112897	0.00638159431043302	206	203	128	1.18441	1.54090603162679
GATM_TSS21952	2.08279557964611e-07	0.350606365773134	0.000806501852126265	206	204	160	1.71601	2.04519791196172	3.91523565139598e-06	0.317506285673561	0.00324424953446904	206	204	160	1.71601	2.04519791196172
CSPG4_TSS34313	2.07153586916891e-07	-0.350670126563972	0.000806501852126265	209	208	183	2.69232	3.15999306555024	1.59106125672876e-09	-0.407547560310294	4.06691167832438e-05	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000113643340025281	-0.264419424009291	0.0282122349946256	206	205	180	2.3205	2.74379872583732	0.000511282383673432	-0.241746790627922	0.0356937100382748	206	205	180	2.3205	2.74379872583732
SYT17_TSS11870,TSS5945	6.43579150435938e-07	0.337019045087504	0.00164563188766469	198	162	20	0.288448	0.409007950526316	0.000201518930051216	0.258050607427614	0.0207702635928997	198	162	20	0.288448	0.409007950526316
HS3ST3B1_TSS7808	3.25093419387243e-05	0.283868515825691	0.0169645688443506	208	196	28	0.365773	0.529076080956938	3.26613553620839e-05	0.287167121944063	0.00789241781549392	208	196	28	0.365773	0.529076080956938
EPN2_TSS32081	0.000215850372581438	-0.253843496421944	0.0383331467801463	208	207	204	2.84046	2.82186964162679	0.000127150919514221	-0.265736823085705	0.0161483033856943	208	207	204	2.84046	2.82186964162679
SPECC1_TSS11661,TSS21829,TSS9232	1.61809104018966e-05	0.294113970980483	0.0108880494467499	209	204	136	1.20581	1.33966531100478	6.2340435194972e-05	0.277194938487817	0.0107667828649911	209	204	136	1.20581	1.33966531100478
AOC3_TSS29860,TSS5849	0.000288747648634435	-0.248894461596246	0.0438359188692495	209	209	209	52.3673	58.1172094736842	5.97382833938374e-06	-0.311726496613236	0.00382362322035123	209	209	209	52.3673	58.1172094736842
MRC2_TSS16228	0.000270203467758591	0.250032258090589	0.0426608877564835	206	188	41	0.393815	0.637445139665072	5.84572389493943e-08	0.369384697331541	0.000465477622312964	206	188	41	0.393815	0.637445139665072
CDC42EP4_TSS27099	0.000135547374898425	-0.261557802729934	0.0303255325401756	209	209	209	6.66922	7.1184123923445	1.13091955002732e-07	-0.361833207148672	0.000566103232756858	209	209	209	6.66922	7.1184123923445
FAM20A_TSS19359,TSS6805	0.000123781473386298	0.263036095796197	0.0293064099489597	206	201	57	0.611654	0.891293261244019	2.72848724962309e-05	0.289876051751056	0.00749923253630277	206	201	57	0.611654	0.891293261244019
SLC26A11_TSS13292	3.19517207179413e-06	0.316528968789982	0.00440837695888455	209	209	209	7.34484	8.04649248803828	9.25654153313569e-05	0.27090326960425	0.0138565236251411	209	209	209	7.34484	8.04649248803828
PSTPIP2_TSS28471	0.000146766928999435	0.260255970376258	0.0320754732864578	209	209	204	4.53493	5.09686786602871	2.88462066802087e-05	0.28904089649234	0.00768060300992515	209	209	204	4.53493	5.09686786602871
BCL2_TSS20723	0.000168011701999942	0.258027316262034	0.0339186603912514	208	206	170	1.81542	2.25534995598086	6.786691097717e-06	0.309957264001	0.00385499135886099	208	206	170	1.81542	2.25534995598086
CD209_TSS28230	0.000273616957061529	0.249817472731491	0.0426608877564835	206	204	162	1.55623	1.93593523923445	0.000457814834037001	0.243738676480407	0.0335306732745553	206	204	162	1.55623	1.93593523923445
S1PR2_TSS26080	1.14814055900897e-05	0.299011607502759	0.00863469238054684	206	205	107	1.03218	1.09198094449761	0.000831054288667004	0.232785698385314	0.0462801278270529	206	205	107	1.03218	1.09198094449761
C20orf202_TSS19400	8.37888770880869e-05	-0.269292572318735	0.0257625534417263	207	201	142	1.5361	1.7288195861244	7.66830525135792e-06	-0.308252782370468	0.0040835323027075	207	201	142	1.5361	1.7288195861244
RASSF2_TSS28636,TSS36094	0.000119550710044894	0.263599987488459	0.0291576925220798	209	209	197	3.1514	4.31977766985646	2.39082401840452e-05	0.291848366194571	0.00686650030724023	209	209	197	3.1514	4.31977766985646
SDC4_TSS35139	6.74561741821303e-05	0.272703835810027	0.0231448369921359	209	209	207	10.0712	10.6220354258373	0.000107922539581946	0.26841820404065	0.0151571870013963	209	209	207	10.0712	10.6220354258373
TRPM2_TSS9091	6.25678363511396e-05	0.273876886091217	0.0228597319150134	206	201	115	1.13557	1.80009315526316	0.000240610536564782	0.255027625706867	0.0233849654948	206	201	115	1.13557	1.80009315526316
ADORA2A_TSS17679,TSS2251,TSS24762	0.000103696327582055	0.265893900614957	0.0265831072268473	203	173	79	0.59649	1.10821974332666	1.44211905633295e-05	0.299264225640584	0.00550179182073532	203	173	79	0.59649	1.10821974332666
IQSEC2_TSS24617,TSS3634	6.7886694345334e-05	-0.272604385486988	0.0231448369921359	209	209	209	21.9236	22.1192535406699	0.000200520282592523	-0.258134788866419	0.0207702635928997	209	209	209	21.9236	22.1192535406699
