tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
DYSF_TSS10947,TSS28868	3.86827694426931e-06	-0.316178604745573	0.00037687596140732	208	208	147	1.67572	2.74688610047847	9.49194416395077e-05	0.270498344459442	0.0173846491259706	208	208	147	1.67572	2.74688610047847
MTHFD2_TSS15074	8.15985600067209e-05	-0.271627179134669	0.00395776241429183	209	209	209	20.7179	21.7145562200957	1.08299664750748e-05	0.303376639806773	0.00798564047022604	209	209	209	20.7179	21.7145562200957
FHL2_TSS26640,TSS29141,TSS36177	0.000213225329795472	-0.255861804748232	0.00800330786329232	125	59	2	0.0291222	0.0924582177033493	0.00131976490682101	0.223926802787216	0.0483995850548806	125	59	2	0.0291222	0.0924582177033493
SH3RF3_TSS34210	0.00114188276123859	-0.225642713275248	0.0288840027172203	164	42	0	0.0393244	0.0665943335252909	7.15933290239853e-05	0.275009653384076	0.0159130181146268	164	42	0	0.0393244	0.0665943335252909
SLC20A1_TSS28706	5.64670716545296e-06	-0.311034462234739	0.000499430733066239	209	209	209	8.36027	8.53118205741627	0.00118614501155492	0.226001344141556	0.04645857937574	209	209	209	8.36027	8.53118205741627
CYBRD1_TSS22715,TSS9625	0.00184960323668106	-0.216192147702632	0.0405817238908194	204	202	100	0.968177	1.41495529090909	0.00111387474896029	0.227214486835154	0.0451216362253153	204	202	100	0.968177	1.41495529090909
SLC40A1_TSS18329	8.32503175205547e-07	-0.336145798188952	0.000116920954183676	208	204	159	2.12227	3.96547404583732	0.000167777302101778	0.261137190505546	0.0216184067865948	208	204	159	2.12227	3.96547404583732
MREG_TSS21609	4.02248140935048e-05	-0.282646953948761	0.00225975049020676	207	207	195	2.5546	3.47642358851675	0.000609101617590026	0.238555856072263	0.035627566240775	207	207	195	2.5546	3.47642358851675
ACKR3_TSS15815	0.000596012769225028	0.2378053833827	0.017860120040048	209	209	208	25.4759	31.5220517559809	2.71914926233452e-06	-0.322398378564941	0.0052854726338186	209	209	208	25.4759	31.5220517559809
SLC4A7_TSS10010,TSS25352	0.00114564781502424	-0.225579503885889	0.0288964077847603	209	209	183	1.99005	2.1516208277512	0.000413347973588438	0.245566786285935	0.0303255496681628	209	209	183	1.99005	2.1516208277512
FRMD4B_TSS1244	0.000941201787708148	-0.229324311343966	0.0252445528810157	209	209	206	3.1284	3.195205784689	0.000455660056120294	0.24382338955841	0.032115232798105	209	209	206	3.1284	3.195205784689
PROK2_TSS9995	0.000145214412323592	-0.262284975142652	0.00600619028058791	184	160	35	0.295019	0.713386859808612	6.57491506257319e-05	0.276356477334736	0.0152369300033708	184	160	35	0.295019	0.713386859808612
CPA3_TSS27930	0.000227132568475704	-0.254789330446685	0.00841410954030069	200	188	84	0.72932	1.74252747320574	0.0011456182247632	0.226672999068551	0.0459704041494068	200	188	84	0.72932	1.74252747320574
RAP2B_TSS29949	0.000190363614590889	-0.257775365735003	0.00731711932715446	209	209	209	6.9475	7.08496138755981	0.000224568984293171	0.256208401113154	0.0231566841159771	209	209	209	6.9475	7.08496138755981
LAMP3_TSS4392	4.88218604116553e-05	-0.279675370455137	0.00260529347386706	207	206	108	1.00959	1.31063531626794	0.00017510806079084	0.260420225810376	0.0216608810555132	207	206	108	1.00959	1.31063531626794
IGF2BP2_TSS18618,TSS4889	2.52583968851016e-05	-0.289651649764972	0.00160205926248159	207	205	75	0.827591	0.951822913444976	8.71031977288385e-05	0.271881339706794	0.0170990740833504	207	205	75	0.827591	0.951822913444976
ST6GAL1_TSS18437,TSS23896	9.89169989225137e-08	-0.361706148479974	2.94002024355625e-05	209	208	206	3.70036	4.80735480952153	0.00108390746219885	0.227738831049665	0.045050014050837	209	208	206	3.70036	4.80735480952153
KLHL5_TSS14972,TSS9470	0.00218606651445656	-0.212823731693466	0.0454662702815494	209	208	164	1.53181	1.61962410181818	0.000167757560701207	0.261139160445351	0.0216184067865948	209	208	164	1.53181	1.61962410181818
ANTXR2_TSS10288,TSS15192	1.90259175016655e-05	-0.293828288626396	0.00126331438606359	209	207	175	2.20603	2.62645104961722	0.000567512653208913	0.239850020971498	0.0345794186601499	209	207	175	2.20603	2.62645104961722
SLC7A11_TSS19111	0.000318665760506913	-0.248961465239647	0.0110073182490773	194	54	2	0.0512228	0.092200995645933	0.00041047703838197	0.245690991430422	0.0303242877979235	194	54	2	0.0512228	0.092200995645933
FAM198B_TSS21137,TSS8367	0.00212149535365582	-0.213431713838959	0.0444124019122001	208	206	127	1.21759	1.72426393875598	0.000184047531604124	0.259582907999312	0.0221907497893066	208	206	127	1.21759	1.72426393875598
TLR3_TSS3408	0.000687645040095692	-0.235183178617869	0.0198267282522557	200	190	43	0.553533	0.656646839712919	8.81472272583534e-05	0.271690030918748	0.0170990740833504	200	190	43	0.553533	0.656646839712919
MYO10_TSS32588	0.000477391253209961	-0.241818623324738	0.0150463598314424	209	147	2	0.150462	0.22185031215311	6.61671777463384e-05	0.276256478509786	0.0152369300033708	209	147	2	0.150462	0.22185031215311
BASP1_TSS16428,TSS25158	0.00146142532738466	-0.220856486622622	0.034524485021515	208	208	197	2.99271	4.08667410526316	0.00117400482875175	0.226200308061872	0.0463813561479497	208	208	197	2.99271	4.08667410526316
OXCT1_TSS11306	0.000105426923828272	-0.267516799028051	0.00474883276433827	203	194	38	0.502368	0.647026571913876	0.000173540514356383	0.260571148602368	0.0216608810555132	203	194	38	0.502368	0.647026571913876
SEPP1_TSS35282	0.000335972172333118	-0.248038673828395	0.0114656671522121	207	206	187	3.58969	7.60575014032091	0.000469344095052365	0.24329159306212	0.0324704042162297	207	206	187	3.58969	7.60575014032091
RHOBTB3_TSS35763	5.3528254401557e-05	-0.278251535057064	0.00281529981637489	209	206	77	0.744939	0.92817366076555	3.61005276818804e-05	0.285647181560758	0.0121416524746914	209	206	77	0.744939	0.92817366076555
ST8SIA4_TSS26762	4.32386501985985e-05	-0.281542447587714	0.00237172347151583	208	208	151	1.54974	1.97837151674641	0.000155154233819446	0.262443260596336	0.02098358397174	208	208	151	1.54974	1.97837151674641
LMNB1_TSS24427,TSS29306	0.00143999672753735	-0.221145835923516	0.0342397733512393	209	209	208	6.15506	6.49232171291866	0.000995766228714892	0.229362061449078	0.0437332999522016	209	209	208	6.15506	6.49232171291866
TMEM173_TSS10935,TSS31747	0.000930562985077215	0.229539057331135	0.0250908443687328	209	209	209	68.8411	69.3066894736842	3.45539190433327e-05	-0.286313021214886	0.0121416524746914	209	209	209	68.8411	69.3066894736842
SPINK6_TSS12127	0.00148673258215003	-0.220519720802124	0.0348965762464066	94	70	2	0	0.132010533014354	0.000925226481737271	0.230759230507584	0.0422351923101869	94	70	2	0	0.132010533014354
SERPINB9_TSS19853	4.44980217315947e-07	-0.343900359452911	7.24467473554962e-05	209	205	166	2.03821	2.4087370607177	0.0006840011360694	0.236418385830992	0.0372390772976869	209	205	166	2.03821	2.4087370607177
VWA7_TSS10527	0.00115056543752159	0.225497231072623	0.0289179971961547	208	208	203	4.07283	4.23377853588517	0.000604153166166425	-0.238705485944728	0.0354191722027064	208	208	203	4.07283	4.23377853588517
TDRD6_TSS352	0.000474085706365419	-0.24194320161747	0.0149791158719487	194	92	7	0.0783972	0.191294600526316	5.36048031262361e-07	0.34321274948687	0.00399810514292415	194	92	7	0.0783972	0.191294600526316
PLA2G7_TSS21440,TSS24190	1.52965555430215e-05	-0.297000312328395	0.00106829304982288	205	200	155	2.32229	4.61703503732057	4.78593553177478e-07	0.34461068573875	0.00399810514292415	205	200	155	2.32229	4.61703503732057
MARCKS_TSS16012	0.000238138116221791	-0.253983146825214	0.00873321146161435	208	208	181	2.16985	3.04046989473684	6.17448054136832e-05	0.277345855222013	0.0152369300033708	208	208	181	2.16985	3.04046989473684
SMPDL3A_TSS14511	0.000222771424736507	-0.255118901910341	0.00832494208726589	203	201	159	2.05051	2.43421643827751	0.000151781513255696	0.26280902831094	0.0209598062302998	203	201	159	2.05051	2.43421643827751
RPS6KA2_TSS20929,TSS3075	0.0014857291650605	-0.220532973187405	0.0348965762464066	209	209	208	3.37722	3.47830947368421	0.00136657495584587	0.223245398354203	0.0487462062076261	209	209	208	3.37722	3.47830947368421
LAT2_TSS17417	0.00033020486184847	0.248341184071397	0.0113293509714211	209	209	209	55.7383	56.6057301435407	0.00053804433523177	-0.240821201295419	0.0337082138550472	209	209	209	55.7383	56.6057301435407
POR_TSS20694	3.01307498870536e-05	0.287018221596174	0.00181216964203054	209	209	209	97.8255	99.6826148325359	0.000155981238185686	-0.262354707392755	0.0209844022592859	209	209	209	97.8255	99.6826148325359
TP53INP1_TSS25853	1.25637499353977e-05	-0.299830020631446	0.000936274087751311	209	209	201	3.10612	3.42073778947368	0.000270741387108017	0.252995429291015	0.0256818839345821	209	209	201	3.10612	3.42073778947368
ABCA1_TSS19198	0.000865251145159554	-0.230909108840188	0.0236795337488473	209	209	205	5.8488	6.4192870430622	0.000116386996282117	0.267186875647047	0.0184780621861317	209	209	205	5.8488	6.4192870430622
LINC00094_TSS29449	0.00135518431644179	0.222331122216335	0.03274089443532	209	208	204	2.13779	2.22096072535885	0.000203925149299179	-0.257849360970813	0.0228071262933537	209	208	204	2.13779	2.22096072535885
SFMBT2_TSS20067,TSS241	0.00114577260005739	-0.225577412204196	0.0288964077847603	209	209	208	4.92159	4.96627440669856	0.000949080769234626	0.23027611351865	0.0425604448112391	209	209	208	4.92159	4.96627440669856
PDLIM1_TSS23538	8.44134984048548e-05	0.27108682803059	0.0040288706149209	209	209	209	160.686	165.61306937799	0.00049000233698739	-0.242515349527816	0.0327878265333368	209	209	209	160.686	165.61306937799
NRIP3_TSS26717	0.0014480566313602	-0.221036544155234	0.0343355988443397	200	176	9	0.265839	0.372411029808612	3.23284352256122e-05	0.287322176020989	0.0121416524746914	200	176	9	0.265839	0.372411029808612
AMPD3_TSS14989,TSS22629,TSS25071,TSS25967,TSS36176	1.04537980102284e-06	-0.333273919224175	0.000137736871618273	208	207	116	1.18702	1.63070045933014	0.000377129323811779	0.247195926504763	0.0290992935307864	208	207	116	1.18702	1.63070045933014
PELI3_TSS14501,TSS28537	0.000173197501421179	0.259358768776763	0.00682141962068839	209	209	209	9.90599	10.3773895215311	1.92382579471376e-05	-0.295061523889392	0.00978471017506324	209	209	209	9.90599	10.3773895215311
LAMTOR1_TSS19163	0.000656834579918874	0.236026838908604	0.0190487361952485	209	209	209	125.068	128.888501913876	0.000279122939731682	-0.252467575965096	0.0260508874231846	209	209	209	125.068	128.888501913876
ZC3H12C_TSS6750	0.000100841583843022	-0.26823494514587	0.00459467330590281	204	164	5	0.209882	0.291283082870813	0.000221583628942705	0.256436783503376	0.0231551844746109	204	164	5	0.209882	0.291283082870813
ARNTL2_TSS3808	0.000596910823559523	-0.237777925709223	0.0178660861370082	208	206	49	0.639262	0.729017996076555	2.82202529394244e-05	0.289370471568671	0.0115373379800418	208	206	49	0.639262	0.729017996076555
NFE2_TSS25490,TSS3434	0.00237660502750217	0.211120405567962	0.0482896670174746	208	207	205	7.90111	8.5213067291866	0.000357800806788502	-0.248125738092777	0.0286700514806298	208	207	205	7.90111	8.5213067291866
CS_TSS4204	0.000182124827807241	0.258517912736093	0.00706417712227752	209	209	209	41.7559	42.1910708133971	0.000620847944340388	-0.238205121234229	0.0357421042911817	209	209	209	41.7559	42.1910708133971
SLC16A7_TSS22722,TSS25486	0.000177308642028591	-0.25896663901242	0.00692994831634987	204	168	3	0.19704	0.250628462440191	0.00137252494845464	0.22316032163742	0.0487462062076261	204	168	3	0.19704	0.250628462440191
PLXNC1_TSS1135,TSS5112	7.03931057840994e-08	-0.36558761247534	2.4578479142825e-05	209	209	178	2.22571	2.99771364114833	0.000242680156674435	0.254880661684508	0.0237276904813522	209	209	178	2.22571	2.99771364114833
CHST11_TSS3539	0.000373692944076934	-0.246171412928307	0.0124275249963075	209	209	209	11.7907	13.0120266507177	1.09882340617926e-05	0.303169796127236	0.00798564047022604	209	209	209	11.7907	13.0120266507177
CMKLR1_TSS22814,TSS7058	2.09168978234174e-06	-0.324341741166939	0.000232674867255877	209	208	172	2.14495	3.48928969138756	8.06471643901231e-05	0.273114424520631	0.01662407034384	209	208	172	2.14495	3.48928969138756
SELPLG_TSS11918,TSS24366	0.000116373661260114	0.265914099203282	0.00509353964977702	209	209	209	141.883	148.833581818182	2.17137963165071e-06	-0.325374957610466	0.00462521956371864	209	209	209	141.883	148.833581818182
SDS_TSS12760	3.44337813535787e-05	-0.285007658656657	0.00200612579326969	199	192	114	1.11377	2.37169808755981	5.23770148103658e-06	0.31353841359323	0.00684628839396081	199	192	114	1.11377	2.37169808755981
SLC7A1_TSS3015	0.00142651504840557	-0.221329903912518	0.0340075335408702	209	209	203	2.52784	2.55805097129187	3.94422397514774e-05	0.284295802854451	0.0123646550144613	209	209	203	2.52784	2.55805097129187
LPAR6_TSS25909,TSS5480,TSS7289	0.000166943000633879	-0.259972328740105	0.00665620282221628	209	209	208	7.16187	7.51318003827751	0.00056806422025147	0.239832291513252	0.0345794186601499	209	209	208	7.16187	7.51318003827751
IRS2_TSS5397	3.86327122678992e-08	0.372310974664547	1.89902068899956e-05	209	209	209	14.0603	14.2529357894737	0.000826445005758516	-0.232890223640035	0.0403117126777923	209	209	209	14.0603	14.2529357894737
LGMN_TSS835	0.000230604195438419	-0.254531167428835	0.00853035287930743	209	209	209	43.2905	53.7584148325359	0.000574411978005053	0.239629387713325	0.0347370976200726	209	209	209	43.2905	53.7584148325359
FMN1_TSS31659,TSS32621	0.00102729675007173	-0.227664213306788	0.0268266628909836	208	201	30	0.44737	0.619375437129187	2.03342801786446e-05	0.294245968810075	0.00978471017506324	208	201	30	0.44737	0.619375437129187
C15orf48_TSS10458	0.000590860524462136	-0.237963653964153	0.0177265092321322	209	209	207	16.5195	21.2813681722488	5.56675544965995e-05	0.278969085621426	0.0146692614483256	209	209	207	16.5195	21.2813681722488
CSPG4_TSS34313	0.000146717528909109	0.262114908021182	0.00605855695710137	209	208	183	2.69232	3.15999306555024	0.000402339981295108	-0.246047451598383	0.0298959658775705	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000906979825150026	0.230023253436531	0.024610733875435	206	205	180	2.3205	2.74379872583732	0.000171161226385151	-0.260802674863069	0.0216184067865948	206	205	180	2.3205	2.74379872583732
ZNF592_TSS24716	0.00010402527826222	0.267733165049144	0.00471268779277538	209	209	209	12.7737	12.6561106698565	0.000209610920759226	-0.257382485237001	0.0229674276119071	209	209	209	12.7737	12.6561106698565
BCAR1_TSS11528,TSS12694,TSS13521,TSS29281,TSS29637,TSS6650,TSS7009	7.9478027313371e-06	0.306301683790237	0.000651133928255473	209	209	209	9.10515	9.67724	0.000616204996437117	-0.238343017020587	0.0357161358592498	209	209	209	9.10515	9.67724
SPIRE2_TSS12543	7.67366764027354e-05	0.272603043573961	0.00378661425778054	207	207	206	5.59326	5.68016766028708	8.24556381676804e-05	-0.272759933174962	0.0167273695809847	207	207	206	5.59326	5.68016766028708
LRRC75A_TSS17836	0.000146971608463715	0.262086321704709	0.00605926013538873	209	209	209	11.6389	11.486281291866	0.000467550995231601	-0.243360453704209	0.0324704042162297	209	209	209	11.6389	11.486281291866
SPECC1_TSS11661,TSS21829,TSS9232	2.83385741010258e-05	-0.287936718523856	0.00173707983836048	209	204	136	1.20581	1.33966531100478	0.000380288325516366	0.24704818101938	0.0291034427800115	209	204	136	1.20581	1.33966531100478
MYO1D_TSS390	0.000468850369432983	-0.242142164458424	0.0148423136118132	204	200	42	0.480405	0.680069385167464	0.000325221689705167	0.249804038192959	0.0274879668956474	204	200	42	0.480405	0.680069385167464
CCL2_TSS18066	0.000941028190485313	-0.229327797480121	0.0252445528810157	209	209	206	16.0706	22.5119714736842	0.000485476192888234	0.24268279441125	0.0327878265333368	209	209	206	16.0706	22.5119714736842
RARA_TSS19901,TSS20305,TSS8154	0.00081728748933097	0.231977260958187	0.0229567972689988	209	209	209	47.1502	47.252980861244	1.18374006925107e-05	-0.302106028632475	0.00798564047022604	209	209	209	47.1502	47.252980861244
AOC3_TSS29860,TSS5849	0.00102016966944152	0.227796686480692	0.0268266628909836	209	209	209	52.3673	58.1172094736842	0.00047983359540017	-0.242893577970397	0.0325332268753946	209	209	209	52.3673	58.1172094736842
FAM20A_TSS19359,TSS6805	0.00102615128927089	-0.227685447274346	0.0268266628909836	206	201	57	0.611654	0.891293261244019	0.000859427103526691	0.232153799180178	0.041061338678964	206	201	57	0.611654	0.891293261244019
TRIM47_TSS25847	4.73951247828101e-06	-0.313428152465067	0.000433154664395115	207	205	191	2.10838	2.53512616526316	0.000297862388486192	0.251338800051956	0.0263341483533305	207	205	191	2.10838	2.53512616526316
TCF4_TSS1890,TSS19101,TSS27183,TSS28651,TSS32658,TSS33580,TSS34348,TSS36266,TSS3791	0.000806347711170155	-0.232228959988603	0.0226993985079519	208	207	56	0.726567	0.796748794258373	1.00133700854449e-05	0.304491625736467	0.00798564047022604	208	207	56	0.726567	0.796748794258373
S1PR2_TSS26080	3.41616617331889e-06	-0.317848209478088	0.000346510410937318	206	205	107	1.03218	1.09198094449761	0.000832690513519335	0.232748721854745	0.0403117126777923	206	205	107	1.03218	1.09198094449761
OCEL1_TSS3777	0.00011311408046678	0.266376034674281	0.00499362523456193	206	206	206	8.85152	9.14657693779904	2.27534040530017e-05	-0.292583759329278	0.0105745411090687	206	206	206	8.85152	9.14657693779904
RASGRP4_TSS24505	8.43397238381547e-05	0.271100772575211	0.0040288706149209	209	209	209	12.5943	12.9323371291866	0.0004700148491845	-0.243265896593564	0.0324704042162297	209	209	209	12.5943	12.9323371291866
ANGPT4_TSS20384	0.000605054087267477	0.237530675853658	0.0180464265165041	208	208	207	13.0669	14.0791536650718	0.000315164821766367	-0.250353740012359	0.0269884828856357	208	208	207	13.0669	14.0791536650718
RASSF2_TSS28636,TSS36094	4.10932676014728e-07	-0.344870899758561	6.82068190364445e-05	209	209	197	3.1514	4.31977766985646	0.000215020777249313	0.256949098479876	0.0230981113663085	209	209	197	3.1514	4.31977766985646
SLC23A2_TSS11098,TSS27023	4.94421747885464e-06	-0.312852133626138	0.000444996982313392	209	209	204	3.08211	3.25947370334928	0.000271637070406085	0.252938301036667	0.0256818839345821	209	209	204	3.08211	3.25947370334928
THBD_TSS5818	0.00026542290976768	0.252125036254413	0.00950206582152896	209	209	209	49.0502	52.29961	0.000475446498202275	-0.243059052914027	0.0325035427949965	209	209	209	49.0502	52.29961
MIR155HG_TSS17780	0.00103034901974174	-0.227607737901072	0.0268266628909836	208	207	204	5.01893	5.37763669378727	0.00023988219306998	0.255079625604825	0.0237276904813522	208	207	204	5.01893	5.37763669378727
IQSEC2_TSS24617,TSS3634	0.00119639569987331	0.22474562011753	0.029806111583296	209	209	209	21.9236	22.1192535406699	0.000913114617288536	-0.231008931126152	0.0419599675290076	209	209	209	21.9236	22.1192535406699
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	1.27419234470971e-07	0.358783371927329	3.22471589337871e-05	209	209	209	82.498	85.7244406698565	0.00121323500736208	-0.225564017504821	0.0467040662999731	209	209	209	82.498	85.7244406698565
